Field,Value,Count
blocks[].edit_info.edited_on.$date,2017-01-20T11:08:03.178-0500,5034
blocks[].edit_info.edited_on.$date,2017-06-21T09:07:58.751-0500,4890
blocks[].edit_info.edited_on.$date,2017-01-20T11:05:59.803-0500,4774
blocks[].edit_info.edited_on.$date,2018-01-24T23:22:35.273-0500,4692
blocks[].edit_info.edited_on.$date,2018-01-24T23:22:35.274-0500,4692
blocks[].edit_info.edited_on.$date,2018-01-24T23:22:35.270-0500,4692
blocks[].edit_info.edited_on.$date,2018-01-25T00:02:11.878-0500,4668
blocks[].edit_info.edited_on.$date,2018-01-25T00:02:11.877-0500,4668
blocks[].edit_info.edited_on.$date,2017-06-21T14:11:14.103-0500,4440
blocks[].edit_info.edited_on.$date,2016-09-12T10:53:34.414-0500,4388
blocks[].edit_info.edited_on.$date,2017-06-27T09:16:09.397-0500,4379
blocks[].edit_info.update_version.$oid,57059dc8ec4a8965752b2690,224172
blocks[].edit_info.update_version.$oid,592da59eec4a890e132c0c22,140316
blocks[].edit_info.update_version.$oid,57059dc8ec4a8965752b2691,110118
blocks[].edit_info.update_version.$oid,57291c1eec4a89390ad7d42a,69044
blocks[].edit_info.update_version.$oid,592da59eec4a890e132c0c24,41513
blocks[].edit_info.update_version.$oid,5a792024ec4a8958140ee68b,40233
blocks[].edit_info.update_version.$oid,5a695b8bec4a8958670ee63d,32326
blocks[].edit_info.update_version.$oid,594a797dec4a890df02c0c6f,30961
blocks[].edit_info.update_version.$oid,57291c1eec4a89390ad7d42c,30209
blocks[].edit_info.update_version.$oid,594d98b8ec4a890dfa2c0cf6,29173
blocks[].edit_info.update_version.$oid,5cd8ed33ec4a89510ec577a6,29148
blocks[].edit_info.update_version.$oid,5878fa99ec4a890cdaf90482,22820
blocks[].edit_info.update_version.$oid,5ce4eb57ec4a892614c577be,22450
blocks[].edit_info.update_version.$oid,57d6cf7eec4a894d5177e7a6,21795
blocks[].edit_info.update_version.$oid,5a6964d3ec4a8957f60ee63c,21525
blocks[].edit_info.update_version.$oid,59dccb03ec4a893b904a94f5,20997
blocks[].edit_info.update_version.$oid,5a6a6a41ec4a89584f0ee675,20663
blocks[].edit_info.update_version.$oid,5a792028ec4a8958170ee681,19105
blocks[].edit_info.update_version.$oid,59504eb1ec4a890e162c0ca6,18788
blocks[].edit_info.update_version.$oid,5941ae6fec4a890dd12c0c75,18677
schema_version,1,128159
edited_on.$date,2017-03-15T11:54:54.044-0500,3
edited_on.$date,2015-09-07T09:37:58.479-0500,2
edited_on.$date,2015-09-07T09:44:06.421-0500,2
edited_on.$date,2015-09-07T09:44:06.429-0500,2
edited_on.$date,2015-09-07T12:05:42.556-0500,2
edited_on.$date,2015-09-08T09:38:16.541-0500,2
edited_on.$date,2015-09-08T09:38:36.152-0500,2
edited_on.$date,2015-09-15T11:45:32.394-0500,2
edited_on.$date,2015-09-18T12:30:36.964-0500,2
edited_on.$date,2015-09-21T12:59:48.351-0500,2
edited_on.$date,2015-09-21T17:12:04.650-0500,2
edited_on.$date,2015-09-22T17:21:06.624-0500,2
edited_on.$date,2015-09-22T17:27:00.773-0500,2
edited_on.$date,2015-09-22T17:28:05.286-0500,2
edited_on.$date,2015-09-22T17:57:40.633-0500,2
edited_on.$date,2015-09-22T17:57:40.660-0500,2
edited_on.$date,2015-09-22T18:14:33.918-0500,2
edited_on.$date,2015-10-27T17:20:48.380-0500,2
edited_on.$date,2015-11-04T11:14:53.824-0500,2
edited_on.$date,2015-12-09T16:24:02.062-0500,2
original_version.$oid,594167c6ec4a890dd92c0c5e,5646
original_version.$oid,570bdf51ec4a891d63edbeb3,2817
original_version.$oid,57bc58b5ec4a890e53eaa72d,2686
original_version.$oid,581358d1ec4a894ccf5a617b,2519
original_version.$oid,594167c6ec4a890dd92c0c60,2516
original_version.$oid,580a2f05ec4a894c825a615f,2355
original_version.$oid,580e1c48ec4a894c9f5a614c,2162
original_version.$oid,57cd7fcbec4a890e62eaa76a,2143
original_version.$oid,58518c92ec4a891b0cea4774,2100
original_version.$oid,57c6f3f1ec4a890e5aeaa75a,2099
original_version.$oid,56218210ec4a8936b722960a,1943
original_version.$oid,5852d2c6ec4a891b50ea4761,1906
original_version.$oid,581358d1ec4a894ccf5a617d,1865
original_version.$oid,580a2f05ec4a894c825a6161,1726
original_version.$oid,57bc58b5ec4a890e53eaa72f,1704
original_version.$oid,587e8777ec4a897bca849684,1698
original_version.$oid,58c86ce1ec4a89032f822f38,1678
original_version.$oid,5c6c7908ec4a891296e8da08,1654
original_version.$oid,5a8d8cc4ec4a8958400ee688,1627
original_version.$oid,5852d2c6ec4a891b50ea4763,1575
edited_by.$numberLong,258,15607
edited_by.$numberLong,10126,5902
edited_by.$numberLong,99,5568
edited_by.$numberLong,118,3831
edited_by.$numberLong,737,3818
edited_by.$numberLong,3139,3471
edited_by.$numberLong,2198,3398
edited_by.$numberLong,129,3339
edited_by.$numberLong,3140,3155
edited_by.$numberLong,24114,2972
edited_by.$numberLong,3152,2687
edited_by.$numberLong,23972,2289
edited_by.$numberLong,13762,2004
edited_by.$numberLong,14761,1857
edited_by.$numberLong,3610,1808
edited_by.$numberLong,24612,1757
edited_by.$numberLong,9531,1697
edited_by.$numberLong,10125,1670
edited_by.$numberLong,4736,1580
edited_by.$numberLong,14591,1515
blocks[].edit_info.previous_version.$oid,57059dc8ec4a8965752b2690,72112
blocks[].edit_info.previous_version.$oid,57059dc8ec4a8965752b2691,54074
blocks[].edit_info.previous_version.$oid,592da59eec4a890e132c0c24,48119
blocks[].edit_info.previous_version.$oid,592da59eec4a890e132c0c22,38002
blocks[].edit_info.previous_version.$oid,5a6be39dec4a8957e20ee667,30983
blocks[].edit_info.previous_version.$oid,5a69639cec4a8958170ee63f,21057
blocks[].edit_info.previous_version.$oid,5ce4e276ec4a892eccc5776f,20639
blocks[].edit_info.previous_version.$oid,5cd3d1beec4a896259c5778b,20270
blocks[].edit_info.previous_version.$oid,5a6a6801ec4a8958140ee64a,19319
blocks[].edit_info.previous_version.$oid,5a6944f2ec4a8957dd0ee63d,17710
blocks[].edit_info.previous_version.$oid,5a6be3a2ec4a8957e20ee668,17072
blocks[].edit_info.previous_version.$oid,5a6957a3ec4a89584a0ee63f,16900
blocks[].edit_info.previous_version.$oid,58b1907cec4a890deb822f22,15672
blocks[].edit_info.previous_version.$oid,58a1b84cec4a8902cb822ed6,15548
blocks[].edit_info.previous_version.$oid,585415c8ec4a891b35ea4789,14997
blocks[].edit_info.previous_version.$oid,59aebc2eec4a890e002c0d6a,14760
blocks[].edit_info.previous_version.$oid,57d85368ec4a894d2277e7af,13954
blocks[].edit_info.previous_version.$oid,594a7466ec4a890dba2c0cb2,13465
blocks[].edit_info.previous_version.$oid,58aa4ee9ec4a890deb822ed4,13052
blocks[].edit_info.previous_version.$oid,58c5b489ec4a89094e822f45,13024
blocks[].edit_info.source_version.$oid,57059dc8ec4a8965752b2690,130893
blocks[].edit_info.source_version.$oid,592da59eec4a890e132c0c22,95710
blocks[].edit_info.source_version.$oid,57291c1eec4a89390ad7d42a,30209
blocks[].edit_info.source_version.$oid,5941ae6fec4a890dd12c0c75,8273
blocks[].edit_info.source_version.$oid,58518f10ec4a891b3fea4771,6402
blocks[].edit_info.source_version.$oid,57c84987ec4a890e69eaa794,6069
blocks[].edit_info.source_version.$oid,57bc634aec4a890e2beaa734,5722
blocks[].edit_info.source_version.$oid,58136da7ec4a894cc95a619c,5702
blocks[].edit_info.source_version.$oid,57059dccec4a8965752b28a4,5587
blocks[].edit_info.source_version.$oid,580a328cec4a894c775a6145,5182
blocks[].edit_info.source_version.$oid,592da5a2ec4a890e132c0da6,4899
blocks[].edit_info.source_version.$oid,5852d2eaec4a891affea477d,4786
blocks[].edit_info.source_version.$oid,570d7028ec4a897883c29582,4635
blocks[].edit_info.source_version.$oid,57cd838eec4a890e7beaa7c1,4316
blocks[].edit_info.source_version.$oid,58c86f99ec4a89094e822f49,4111
blocks[].edit_info.source_version.$oid,5a8d98a6ec4a8958700ee6ca,3953
blocks[].edit_info.source_version.$oid,56218380ec4a89368b22960a,3913
blocks[].edit_info.source_version.$oid,580e2ad9ec4a894cd25a614f,3882
blocks[].edit_info.source_version.$oid,5a998258ec4a89581c0ee6ee,3538
blocks[].edit_info.source_version.$oid,59f8abf7ec4a892df7ab334c,3459
previous_version.$oid,5ac54eb0ec4a89772a1aae8b,5
previous_version.$oid,584dec97ec4a891b47ea475a,4
previous_version.$oid,5669da10ec4a8950ae0c4ea4,3
previous_version.$oid,57aa5ac0ec4a890e53eaa726,3
previous_version.$oid,57aa5ac0ec4a890e53eaa727,3
previous_version.$oid,57f7db82ec4a894bdb0b3bcf,3
previous_version.$oid,583cc034ec4a8967d87dae5c,3
previous_version.$oid,5851c6efec4a891b1dea476c,3
previous_version.$oid,58599dafec4a891b06ea4775,3
previous_version.$oid,58599db8ec4a891afeea476c,3
previous_version.$oid,5876964aec4a8960183382d7,3
previous_version.$oid,58500b8aec4a891afeea475c,3
previous_version.$oid,58500b8aec4a891afeea475d,3
previous_version.$oid,588b4dd2ec4a897289dbcef9,3
previous_version.$oid,589a10a3ec4a8904b5471d74,3
previous_version.$oid,58b75e39ec4a890ef4822ef1,3
previous_version.$oid,58c9718bec4a890fb8822f2d,3
previous_version.$oid,58c971a5ec4a8903ac822f78,3
previous_version.$oid,58c971d3ec4a890f37822f19,3
previous_version.$oid,58c97207ec4a890ca3822f36,3
blocks[].fields.end.$date,2019-06-09T18:30:00.000-0500,12891
blocks[].fields.end.$date,2017-11-19T18:59:00.000-0500,6351
blocks[].fields.end.$date,2019-05-26T18:30:00.000-0500,6099
blocks[].fields.end.$date,2018-04-14T18:30:00.000-0500,5690
blocks[].fields.end.$date,2016-11-30T18:30:00.000-0500,4259
blocks[].fields.end.$date,2018-01-22T18:59:00.000-0500,2957
blocks[].fields.end.$date,2016-02-09T19:00:00.000-0500,2815
blocks[].fields.end.$date,2018-01-14T18:59:00.000-0500,2705
blocks[].fields.end.$date,2019-06-23T18:30:00.000-0500,2626
blocks[].fields.end.$date,2019-01-20T18:59:00.000-0500,2444
blocks[].fields.end.$date,2017-09-30T00:00:00.000-0500,2429
blocks[].fields.end.$date,2019-05-26T18:59:00.000-0500,2082
blocks[].fields.end.$date,2019-07-07T18:30:00.000-0500,1927
blocks[].fields.end.$date,2016-07-27T19:00:00.000-0500,1919
blocks[].fields.end.$date,2019-06-09T18:59:00.000-0500,1901
blocks[].fields.end.$date,2019-06-23T18:00:00.000-0500,1409
blocks[].fields.end.$date,2017-06-26T00:00:00.000-0500,1325
blocks[].fields.end.$date,2017-07-29T19:00:00.000-0500,1279
blocks[].fields.end.$date,2016-12-05T13:00:00.000-0500,1171
blocks[].fields.end.$date,2016-09-16T11:30:00.000-0500,1146
blocks[].fields.enrollment_start.$date,2019-03-11T00:30:00.000-0500,21390
blocks[].fields.enrollment_start.$date,2019-04-07T00:30:00.000-0500,6936
blocks[].fields.enrollment_start.$date,2017-09-04T23:30:00.000-0500,6487
blocks[].fields.enrollment_start.$date,2018-01-05T02:00:00.000-0500,5417
blocks[].fields.enrollment_start.$date,2018-05-09T00:00:00.000-0500,5369
blocks[].fields.enrollment_start.$date,2018-03-04T19:00:00.000-0500,4854
blocks[].fields.enrollment_start.$date,2016-11-01T00:00:00.000-0500,4685
blocks[].fields.enrollment_start.$date,2016-07-31T19:00:00.000-0500,4318
blocks[].fields.enrollment_start.$date,2017-11-06T23:30:00.000-0500,3649
blocks[].fields.enrollment_start.$date,2018-03-04T23:30:00.000-0500,3093
blocks[].fields.enrollment_start.$date,2015-10-04T19:00:00.000-0500,2577
blocks[].fields.enrollment_start.$date,2016-12-14T19:00:00.000-0500,2549
blocks[].fields.enrollment_start.$date,2017-07-01T00:00:00.000-0500,2429
blocks[].fields.enrollment_start.$date,2017-11-12T23:30:00.000-0500,2149
blocks[].fields.enrollment_start.$date,2015-09-14T19:00:00.000-0500,2082
blocks[].fields.enrollment_start.$date,2017-01-18T00:00:00.000-0500,1927
blocks[].fields.enrollment_start.$date,2016-04-10T19:00:00.000-0500,1800
blocks[].fields.enrollment_start.$date,2016-09-02T00:00:00.000-0500,1664
blocks[].fields.enrollment_start.$date,2019-03-10T23:30:00.000-0500,1543
blocks[].fields.enrollment_start.$date,2016-09-05T00:00:00.000-0500,1516
blocks[].fields.enrollment_end.$date,2019-04-14T18:30:00.000-0500,12604
blocks[].fields.enrollment_end.$date,2017-12-11T18:59:00.000-0500,5792
blocks[].fields.enrollment_end.$date,2018-03-04T18:59:00.000-0500,5692
blocks[].fields.enrollment_end.$date,2017-10-19T18:59:00.000-0500,5544
blocks[].fields.enrollment_end.$date,2017-02-20T00:00:00.000-0500,5358
blocks[].fields.enrollment_end.$date,2019-04-22T18:30:00.000-0500,4958
blocks[].fields.enrollment_end.$date,2018-04-15T19:00:00.000-0500,4953
blocks[].fields.enrollment_end.$date,2016-08-30T19:00:00.000-0500,4328
blocks[].fields.enrollment_end.$date,2018-06-11T18:59:00.000-0500,4022
blocks[].fields.enrollment_end.$date,2019-05-20T00:30:00.000-0500,3827
blocks[].fields.enrollment_end.$date,2019-04-14T18:59:00.000-0500,2995
blocks[].fields.enrollment_end.$date,2019-05-12T18:30:00.000-0500,2859
blocks[].fields.enrollment_end.$date,2019-04-22T18:59:00.000-0500,2851
blocks[].fields.enrollment_end.$date,2018-12-10T18:59:00.000-0500,2420
blocks[].fields.enrollment_end.$date,2019-05-05T18:30:00.000-0500,2193
blocks[].fields.enrollment_end.$date,2018-04-16T18:59:00.000-0500,2174
blocks[].fields.enrollment_end.$date,2016-12-12T09:30:00.000-0500,2024
blocks[].fields.enrollment_end.$date,2015-11-24T19:00:00.000-0500,1741
blocks[].fields.enrollment_end.$date,2016-10-06T00:00:00.000-0500,1701
blocks[].fields.enrollment_end.$date,2017-04-17T00:00:00.000-0500,1485
blocks[].fields.course_image,logo2.jpg,5645
blocks[].fields.course_image,DARPA_Big_Data.jpg,4899
blocks[].fields.course_image,17421329612_8a1caf7c01_o.jpg,4338
blocks[].fields.course_image,MATHFUND1_new.jpg,2305
blocks[].fields.course_image,"Nuevos, portadas.001.jpeg",2153
blocks[].fields.course_image,COMPSCNTX1_new.jpg,2012
blocks[].fields.course_image,imagenBigDataPruebaSinCC.jpg,1949
blocks[].fields.course_image,READAPY1_new.jpg,1857
blocks[].fields.course_image,COMPFUND1_new.jpg,1621
blocks[].fields.course_image,PlantasMedicinales.png,1562
blocks[].fields.course_image,GPSY1_new.jpg,1545
blocks[].fields.course_image,ADMSSAPY1_new_1.jpg,1476
blocks[].fields.course_image,FERBEV-New.jpeg,1409
blocks[].fields.course_image,LOGICA_nuevo.jpg,1407
blocks[].fields.course_image,ETHIC1_new.jpg,1387
blocks[].fields.course_image,Imagen del curso.jpg,1346
blocks[].fields.course_image,ABSRSAPY1_new.jpg,1344
blocks[].fields.course_image,imagencurso.jpg,1334
blocks[].fields.course_image,lenguajes programacion.jpg,1321
blocks[].fields.course_image,GPDGY1_new.jpg,1315
blocks[].fields.checklists[].short_description,Getting Started With Studio,28826
blocks[].fields.checklists[].short_description,Draft a Rough Course Outline,28826
blocks[].fields.checklists[].short_description,Explore edX's Support Tools,28826
blocks[].fields.checklists[].short_description,Draft Your Course About Page,28826
blocks[].fields.checklists[].items[].action_external,False,432390
blocks[].fields.checklists[].items[].action_external,True,86478
blocks[].fields.checklists[].items[].short_description,Add Course Team Members,28826
blocks[].fields.checklists[].items[].short_description,Set Important Dates for Your Course,28826
blocks[].fields.checklists[].items[].short_description,Draft Your Course's Grading Policy,28826
blocks[].fields.checklists[].items[].short_description,Explore the Other Studio Checklists,28826
blocks[].fields.checklists[].items[].short_description,Create Your First Section and Subsection,28826
blocks[].fields.checklists[].items[].short_description,Set Section Release Dates,28826
blocks[].fields.checklists[].items[].short_description,Designate a Subsection as Graded,28826
blocks[].fields.checklists[].items[].short_description,Reordering Course Content,28826
blocks[].fields.checklists[].items[].short_description,Renaming Sections,28826
blocks[].fields.checklists[].items[].short_description,Deleting Course Content,28826
blocks[].fields.checklists[].items[].short_description,Add an Instructor-Only Section to Your Outline,28826
blocks[].fields.checklists[].items[].short_description,Explore the Studio Help Forum,28826
blocks[].fields.checklists[].items[].short_description,Enroll in edX 101,28826
blocks[].fields.checklists[].items[].short_description,Download the Studio Documentation,28826
blocks[].fields.checklists[].items[].short_description,Draft a Course Description,28826
blocks[].fields.checklists[].items[].short_description,Add Staff Bios,28826
blocks[].fields.checklists[].items[].short_description,Add Course FAQs,28826
blocks[].fields.checklists[].items[].short_description,Add Course Prerequisites,28826
blocks[].fields.checklists[].items[].action_url,CourseOutline,196889
blocks[].fields.checklists[].items[].action_url,SettingsDetails,140635
blocks[].fields.checklists[].items[].action_url,,28826
blocks[].fields.checklists[].items[].action_url,http://help.edge.edx.org/,28826
blocks[].fields.checklists[].items[].action_url,https://edge.edx.org/courses/edX/edX101/How_to_Create_an_edX_Course/about,28826
blocks[].fields.checklists[].items[].action_url,http://files.edx.org/Getting_Started_with_Studio.pdf,28826
blocks[].fields.checklists[].items[].action_url,ManageUsers,28127
blocks[].fields.checklists[].items[].action_url,SettingsGrading,28127
blocks[].fields.checklists[].items[].action_url,/edX/DemoX/course/Demo_Course,4893
blocks[].fields.checklists[].items[].action_url,/edX/DemoX/settings-details/Demo_Course,3495
blocks[].fields.checklists[].items[].action_url,/manage_users/i4x://edX/DemoX/course/Demo_Course,699
blocks[].fields.checklists[].items[].action_url,/edX/DemoX/settings-grading/Demo_Course,699
blocks[].fields.checklists[].items[].action_text,Edit Course Outline,201782
blocks[].fields.checklists[].items[].action_text,Edit Course Schedule &amp; Details,115304
blocks[].fields.checklists[].items[].action_text,Edit Course Team,28826
blocks[].fields.checklists[].items[].action_text,Edit Course Details &amp; Schedule,28826
blocks[].fields.checklists[].items[].action_text,Edit Grading Settings,28826
blocks[].fields.checklists[].items[].action_text,,28826
